,age,gender,city,position,experience,germany_experience,work_level,main_tech,other_tech,yearly_salary,vacation_days,emp_state,contract_duration,main_language,company_size,company_type,covid_lost
504,31,Male,Berlin,Mobile Developer,10.0,3.0,Senior,Swift,Swift,80000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
505,33,Male,Nuremberg ,Data Scientist,2.0,2.0,Middle,Python,"R, SQL, AWS, Kubernetes, Docker",54000.0,30.0,full-time,Unlimited contract,English,1000+,Market Research ,No
506,43,Male,Munich,Consultant ,21.0,3.0,Senior,Java,"Javascript / Typescript, .NET, Java / Scala, Docker",72000.0,28.0,full-time,Unlimited contract,German,101-1000,Consulting / Agency,No
507,36,Male,Berlin,Frontend Developer,14.0,5.0,Senior,Javascript,Javascript / Typescript,78000.0,24.0,full-time,Unlimited contract,English,11-50,Startup,No
508,33,Male,Nürnberg,Software Engineer,9.0,9.0,Senior,Javascript / Typescript,"Python, Java / Scala, SQL, Azure, Docker",60000.0,30.0,full-time,Unlimited contract,German,1000+,Consulting / Agency,No
509,36,Female,Berlin,DevOps,1.0,3.0,Middle,java,"Kubernetes, Docker",60000.0,26.0,full-time,Unlimited contract,English,51-100,Consulting / Agency,No
510,27,Female,Munich,Mobile Developer,1.0,1.0,Junior,"Kotlin, Java","Kotlin, Java / Scala",50000.0,27.0,full-time,Unlimited contract,English,11-50,Startup,No
511,33,Male,Berlin,Software Engineer,12.0,5.0,Lead,Go,"Go, AWS, Docker",120000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
512,33,Male,Berlin,Data Analyst,2.0,2.0,Middle,SQL,Python,62000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
513,40,Male,Berlin,QA Engineer,11.0,11.0,Senior,Python,"Python, Java / Scala",60000.0,28.0,full-time,Unlimited contract,German,101-1000,Product,No
515,40,Male,Bodensee,Product Manager,17.0,9.0,Lead,Linux Kernel,C/C++,81000.0,30.0,full-time,Unlimited contract,German,11-50,Product,No
518,39,Male,Berlin,Data Scientist,7.0,4.0,Senior,several,"Python, SQL, AWS, Docker, unix shell scripts",70000.0,28.0,full-time,Unlimited contract,English,101-1000,Startup,No
519,25,Male,Berlin,Software Engineer,6.0,2.0,Middle,Java,"Python, Java / Scala, Go, AWS, Kubernetes, Docker",63700.0,29.0,full-time,Unlimited contract,English,1000+,e-commerce,No
520,27,Male,Berlin,Software Engineer,4.0,1.0,Middle,C#,"Javascript / Typescript, .NET, Azure, Docker",65000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
522,28,Male,Berlin,Data Scientist,4.0,4.0,Middle,Python ,"Java / Scala, R, SQL, Docker, Julia ",70000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
523,36,Female,Munich,Frontend Developer,10.0,3.0,Middle,javascript,Javascript / Typescript,48000.0,30.0,part-time,Unlimited contract,German,101-1000,Product,No
524,29,Female,Berlin,Software Developer in Test,9.0,4.0,Lead,Java,"Javascript / Typescript, SQL, Docker",66000.0,25.0,full-time,Unlimited contract,English,101-1000,Startup,No
526,34,Male,Berlin,Mobile Developer,10.0,0.5,Senior,Android/Kotlin,"Kotlin, Java / Scala",70000.0,28.0,full-time,Unlimited contract,English,51-100,Product,No
528,39,Male,Munich,Software Architect,20.0,12.0,Lead,embedded,"C/C++, Clojure, Assembly",122000.0,28.0,full-time,Unlimited contract,English,1000+,Product,No
531,32,Male,Berlin,Software Engineer,6.0,0.0,Middle,PHP,"Python, PHP, Javascript / Typescript, SQL, AWS, Kubernetes, Docker",58000.0,30.0,full-time,Temporary contract,German,1000+,Product,Yes
532,37,Male,Berlin,QA Engineer,6.0,6.0,Middle,Java/Groovy,"AWS, Docker",69200.0,28.0,full-time,Unlimited contract,English,101-1000,SaaS,No
533,32,Male,Munich,Software Engineer,7.0,1.0,Senior,Python ,"Python, Javascript / Typescript, SQL, Docker",72000.0,29.0,full-time,Unlimited contract,English,11-50,Startup,No
535,35,Male,Munich,Software Engineer,16.0,8.0,Lead,PHP,"Javascript / Typescript, SQL, AWS, Kubernetes, Docker",84000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
536,26,Male,Berlin,Data Scientist,5.0,3.0,Middle,Python ,"SQL, AWS, Kubernetes, Docker",59000.0,26.0,full-time,Unlimited contract,English,101-1000,Startup,No
537,32,Male,Berlin,Frontend Developer,7.0,1.0,Middle,Typescript,"Java / Scala, Kubernetes, Docker",68000.0,30.0,full-time,Unlimited contract,English,101-1000,Startup,No
539,36,Male,Berlin,Software Engineer,10.0,10.0,Senior,typescript,"Javascript / Typescript, .NET, Azure",88000.0,28.0,full-time,Unlimited contract,German,1000+,Product,No
541,28,Male,Berlin,Data Engineer,5.0,1.0,Middle,Scala,Java / Scala,65000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
542,36,Male,Berlin,Data Scientist,5.0,5.0,Middle,python,"Python, SQL, AWS, Google Cloud",50000.0,30.0,full-time,Unlimited contract,English,101-1000,Startup,No
543,40,Male,Munich,Software Engineer,18.0,18.0,Senior,java,"AWS, Docker",160000.0,15.0,freelancer,Temporary contract,German,up to 10,Consulting / Agency,No
544,29,Male,Milan,Data Scientist,4.0,0.0,Middle,Python + SQL,"Python, SQL, Spark",37500.0,16.0,full-time,Unlimited contract,Italian,101-1000,Consulting / Agency,No
545,32,Male,Berlin,Software Engineer,10.0,5.0,Middle,javascript,"Javascript / Typescript, SQL, AWS, Docker",65000.0,24.0,full-time,Unlimited contract,English,51-100,Startup,No
546,28,Male,Munich,Software Engineer,5.0,4.0,Middle,Java,"Javascript / Typescript, Java / Scala, AWS, Docker",56000.0,25.0,full-time,Unlimited contract,English,11-50,Startup,No
547,27,Male,Berlin,DevOps,7.0,3.5,Senior,Go,"Python, PHP, AWS, Google Cloud, Kubernetes, Docker",80000.0,26.0,full-time,Unlimited contract,English,101-1000,Startup,No
548,33,Male,Berlin,Software Engineer,16.0,5.0,Senior,Java,"Python, Kotlin, Java / Scala, Go, Rust, AWS, Kubernetes, Docker",83000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
549,34,Male,Munich,QA Engineer,5.0,2.0,Senior,Java,"Kotlin, Swift",76500.0,3.0,full-time,Unlimited contract,English,1000+,Product,No
550,31,Male,Berlin,Frontend Developer,8.0,3.5,Senior,Typescript,"Javascript / Typescript, Google Cloud, Kubernetes, Docker",60000.0,30.0,full-time,Unlimited contract,English,11-50,Product,No
551,31,Male,Munich,Frontend Developer,8.0,3.0,Senior,"Typescript, Web apps",Javascript / Typescript,79000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
552,31,Male,Berlin,Data Scientist,5.0,3.0,Middle,Python,"Python, Java / Scala, SQL, AWS, Docker",90000.0,27.0,full-time,Unlimited contract,English,101-1000,Product,No
553,27,Male,Berlin,ML Engineer,6.0,1.0,Middle,Python,AWS,82000.0,28.0,full-time,Unlimited contract,English,1000+,Product,Yes
555,29,Male,Berlin,Backend Developer,10.0,5.0,Senior,Scala,"Java / Scala, SQL, Go, Google Cloud, Kubernetes, Docker",78000.0,30.0,full-time,Unlimited contract,English,11-50,Startup,No
556,39,Male,Berlin,Software Engineer,6.0,1.0,Senior,PHP,"Javascript / Typescript, SQL, AWS, Docker",60000.0,25.0,full-time,Unlimited contract,English,101-1000,Product,No
557,35,Male,Berlin,Frontend Developer,10.0,3.0,Senior,JavaScript,Javascript / Typescript,75000.0,30.0,full-time,Unlimited contract,English,1000+,Startup,No
558,38,Male,Berlin,Tech Leader,24.0,1.0,Head,Java,"Kotlin, PHP, Swift, Javascript / Typescript, Java / Scala, Clojure, R, Rust, AWS, Google Cloud, Azure, Kubernetes, Docker",130000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,Yes
559,31,Male,Salzburg,Chief Research Officer,10.0,2.0,C-level executive manager,Python,"Python, C/C++, AWS, Kubernetes, Docker",115000.0,25.0,full-time,Unlimited contract,English,51-100,Startup,No
560,32,Male,Berlin,QA Engineer,7.0,3.5,Senior,Swift,Javascript / Typescript,65000.0,24.0,full-time,Temporary contract,English,51-100,Startup,No
561,35,Male,Berlin,SRE,10.0,3.0,Senior,Terraform ,"Python, AWS, Kubernetes",75000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
562,28,Male,Rome,ML Engineer,2.0,0.0,Middle,Java,"Python, C/C++",36000.0,36.0,full-time,Unlimited contract,English,1000+,Product,No
563,30,Female,Berlin,Data Scientist,6.0,5.0,Senior,python,"Python, SQL, Google Cloud, Kubernetes, Docker",76000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
565,26,Male,Berlin,Data Engineer,2.0,2.0,Middle,Python,"Python, SQL, AWS, Google Cloud, Kubernetes, Docker",54000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
566,25,Male,Berlin,Data Engineer,3.0,3.0,Senior,Scala,"Python, Java / Scala, SQL, Go, AWS, Google Cloud, Kubernetes, Docker",65000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
568,27,Male,Berlin,DevOps,4.0,4.0,Middle,AWS,"Python, AWS, Docker",66000.0,30.0,full-time,Unlimited contract,English,101-1000,Consulting / Agency,No
570,22,Male,Berlin,Presales Engineer ,4.0,4.0,Middle,"Java, .Net",".NET, Java / Scala, SQL, Go, AWS, Docker",63000.0,30.0,full-time,Unlimited contract,English,101-1000,Startup,No
571,37,Female,Berlin,Data Scientist,2.0,2.0,Middle,Python,"R, SQL, AWS",62000.0,30.0,full-time,Unlimited contract,German,101-1000,Publisher,No
572,25,Male,Berlin,Data Scientist,1.0,0.5,Junior,"Python, statistics, SQL","Python, SQL, Google Cloud, Docker",51000.0,28.0,full-time,Unlimited contract,English,1000+,Product,No
573,33,Male,Berlin,Backend Developer,11.0,4.0,Senior,Scala,"Java / Scala, AWS, Kubernetes, Docker",154000.0,22.0,freelancer,Temporary contract,German,11-50,Startup,No
574,38,Male,Berlin,Freelance AI lead / advisor,20.0,7.0,Head,C,"Python, C/C++, Docker",200000.0,0.0,freelancer,Temporary contract,English,up to 10,Consulting / Agency,Yes
578,25,Male,Berlin,Software Engineer,5.0,1.0,Senior,Node.js,"Javascript / Typescript, Google Cloud, Kubernetes",57000.0,24.0,full-time,Temporary contract,English,up to 10,Consulting / Agency,No
579,26,Female,Berlin,Data Scientist,4.0,1.0,Middle,"Sql, BQ, tableau, gtm, ga","Python, Javascript / Typescript, SQL",45000.0,25.0,full-time,Temporary contract,English,101-1000,Startup,Yes
580,29,Male,Berlin,Frontend Developer,3.0,3.0,Middle,React ,Javascript / Typescript,43000.0,28.0,full-time,Unlimited contract,English,51-100,Product,No
582,30,Male,Berlin,Frontend Developer,4.0,2.0,Senior,TypeScript,Javascript / Typescript,73000.0,26.0,full-time,Unlimited contract,English,101-1000,Product,No
583,30,Male,Berlin,Frontend Developer,11.0,5.0,Senior,Typescript,Java / Scala,74000.0,28.0,full-time,Unlimited contract,English,1000+,Product,No
585,29,Male,Berlin,Frontend Developer,9.0,1.0,Senior,Javascript / Typescript,"Python, Javascript / Typescript, SQL, Perl, Docker",74000.0,30.0,full-time,Unlimited contract,English,1000+,Startup,No
586,32,Male,Cologne,DevOps,10.0,1.0,Middle,Bash,"Python, Google Cloud",55000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
587,36,Male,Berlin,Researcher,4.0,4.0,Middle,C++,"Python, C/C++",40000.0,28.0,full-time,Temporary contract,English,up to 10,University,No
589,30,Female,Berlin,Software Engineer,4.0,4.0,Middle,Python,"Python, Java / Scala, SQL, AWS, Kubernetes, Docker",56000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
591,32,Female,Berlin,QA Engineer,10.0,1.5,Middle,Java,Docker,68000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
592,34,Male,Berlin,QA Engineer,10.0,3.0,Senior,JS,"Python, Javascript / Typescript, AWS, Docker",70000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
594,40,Male,Berlin,Engineering manager,15.0,6.0,Head,Python,"Python, SQL, Perl, AWS, Google Cloud, Docker",80000.0,28.0,full-time,Unlimited contract,English,1000+,Product,No
595,35,Male,Berlin,Software Engineer,15.0,4.0,Principal,C++,"Python, Swift, Java / Scala",77000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
596,31,Male,Berlin,Software Engineer,8.0,1.0,Senior,"Java, Kotlin","Kotlin, Java / Scala, AWS",77000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
597,38,Male,Berlin,Data Scientist,15.0,3.0,Senior,Python,"Python, SQL, AWS",56000.0,21.0,full-time,Unlimited contract,English,11-50,Product,No
598,39,Male,Hamburg,Data Scientist,10.0,10.0,Senior,R,"Python, R, SQL",80000.0,30.0,full-time,Unlimited contract,English,1000+,Energy ,No
599,35,Male,Berlin,Backend Developer,13.0,5.0,Senior,Nodejs,"PHP, Javascript / Typescript",90000.0,31.0,full-time,Unlimited contract,English,up to 10,Startup,No
601,29,Female,Berlin,Data Scientist,0.0,0.0,intern,Python,"Python, SQL, AWS, Google Cloud, Docker",20000.0,25.0,full-time,Temporary contract,English,1000+,Product,No
602,36,Male,Berlin,Engineering Manager,18.0,10.0,Head,C++,"Python, Swift, Java / Scala",98000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
603,41,Male,Berlin,Backend Developer,20.0,5.0,Senior,Python,"Python, SQL, AWS, Kubernetes, Docker",93000.0,29.0,full-time,Unlimited contract,English,1000+,Product,No
604,41,Male,Berlin,Software Engineer,18.0,7.0,Lead,PHP,"SQL, Google Cloud, Kubernetes, Docker",100000.0,28.0,full-time,Unlimited contract,English,51-100,Product,No
605,28,Female,Berlin,Data Scientist,6.0,1.0,Senior,sql,"Python, R, SQL",70000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
606,33,Male,Berlin,Software Engineer,10.0,3.0,Lead,javascript,"Javascript / Typescript, AWS, Docker",75000.0,26.0,full-time,Unlimited contract,English,101-1000,Startup,No
607,31,Male,Munich,Software Engineer,3.0,3.0,Middle,JavaScript ,"Javascript / Typescript, Java / Scala",63000.0,30.0,full-time,Unlimited contract,German,51-100,Product,No
608,29,Male,Berlin,Backend Developer,5.0,1.0,Senior,Java,"Java / Scala, SQL, AWS, Kubernetes, Docker",70000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
610,25,Male,Berlin,ML Engineer,4.5,2.0,Middle,"Spark, Pytorch",Python,75000.0,30.0,full-time,Unlimited contract,English,11-50,Startup,No
611,34,Male,Berlin,QA Engineer,10.0,5.0,Lead,Java,"Javascript / Typescript, SQL, AWS, Docker",85000.0,30.0,full-time,Unlimited contract,English,101-1000,Startup,No
612,45,Male,Berlin,Backend Developer,30.0,1.0,Senior,PHP,"Javascript / Typescript, Go, AWS, Google Cloud, Docker",55000.0,24.0,full-time,Unlimited contract,English,11-50,Startup,No
613,37,Male,Berlin,Embedded Software Engineer,15.0,1.0,Senior,C/C++,"Python, C/C++",78000.0,28.0,full-time,Unlimited contract,English,1000+,Product,No
614,31,Male,Berlin,Software Engineer,9.0,5.0,Lead,javascript,"AWS, Docker",99000.0,30.0,full-time,Unlimited contract,English,101-1000,Startup,No
615,32,Male,Amsterdam,Backend Developer,15.0,0.0,Senior,Golang,"Python, Javascript / Typescript, SQL, AWS, Kubernetes, Docker",90000.0,25.0,full-time,Unlimited contract,English,11-50,Product,No
617,42,Male,Wroclaw,Software Engineer,16.0,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0       3.0
1       4.0
2       6.0
3       1.0
4       6.0
       ... 
1248    5.0
1249    1.5
1250    2.0
1251    7.0
1252    2.0
Name: germany_experience, Length: 1236, dtype: object>",Senior,java/scala/go/clouds/devops,"Java / Scala, Go, AWS, Google Cloud, Kubernetes, Docker",36000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
619,36,Male,Berlin,Backend Developer,14.0,12.0,Middle,JS,Docker,75000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
620,40,Male,Karlsruhe,Team Manager,20.0,6.0,Lead,C#,"Python, .NET, Azure, Kubernetes, Docker",85000.0,30.0,full-time,Unlimited contract,English,1000+,Enterprise,No
621,28,Male,Berlin,Backend Developer,7.0,3.0,Senior,Java,"Ruby, Go, Perl",95000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
622,35,Male,Frankfurt,Backend Developer,15.0,15.0,Senior,C,"Python, Javascript / Typescript, SQL, Docker",63000.0,30.0,full-time,Unlimited contract,German,51-100,Product,No
623,37,Male,Berlin,Backend Developer,12.0,3.0,Senior,Java,"Javascript / Typescript, Java / Scala, Google Cloud, Docker",102000.0,30.0,full-time,Unlimited contract,English,101-1000,Startup,No
624,33,Male,Berlin,Software Engineer,10.0,6.0,Lead,C/C++,C/C++,95000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
625,33,Male,Berlin,Backend Developer,13.0,5.0,Senior,Java,"Java / Scala, SQL, Kubernetes, Docker",78600.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
626,31,Male,Munich,Software Engineer,10.0,4.0,Lead,Java ,"Python, Javascript / Typescript, AWS, Docker",70000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
627,31,Male,Berlin,Software Engineer,4.0,2.0,Middle,Java,"Kotlin, Javascript / Typescript, Docker",67000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
628,28,Male,Wolfsburg,Software Engineer,3.0,1.0,Middle,Java,SQL,42000.0,30.0,full-time,Unlimited contract,English,101-1000,Consulting / Agency,No
629,31,Male,Boeblingen,QA Engineer,6.0,3.0,Senior,Python,"Python, Squish",53000.0,30.0,full-time,Unlimited contract,English,1000+,Consulting / Agency,No
631,25,Female,Frankfurt,Software Engineer,3.0,2.0,Middle,Java,"Javascript / Typescript, SQL",53000.0,30.0,full-time,Unlimited contract,German,1000+,Product,No
632,35,Male,Berlin,Data Analyst,9.0,9.0,Senior,Python,"Python, SQL, AWS, Kubernetes, Docker",77000.0,28.0,full-time,Unlimited contract,German,101-1000,Startup,No
633,35,Male,Berlin,Software Engineer,15.0,10.0,Senior,.net,"C/C++, .NET, Go, Docker",80000.0,30.0,full-time,Unlimited contract,English,11-50,Consulting / Agency,No
634,41,Male,Berlin,DevOps,20.0,14.0,Senior,"Linux/UNIX, GIT, Virtualisation Platforms, *shell(s) scripts","Python, Javascript / Typescript, SQL, AWS, Google Cloud, Kubernetes, Docker",58800.0,35.0,full-time,Unlimited contract,German,1000+,Bloody enterprise,No
635,33,Male,Berlin,DevOps,8.0,3.0,Senior,AWS,"Python, AWS, Kubernetes, Docker",75000.0,30.0,full-time,Unlimited contract,English,1000+,service,No
636,33,Male,Berlin,Data Engineer,13.0,3.0,Senior,Python,"Python, Java / Scala, SQL, AWS, Kubernetes, Docker",85000.0,26.0,full-time,Unlimited contract,English,101-1000,Startup,No
637,38,Male,Munich,Software Engineer,15.0,2.0,Senior,Java,"Java / Scala, Kubernetes, Docker",70000.0,26.0,full-time,Unlimited contract,English,11-50,Product,No
638,35,Male,Berlin,Software Engineer,10.0,6.0,Senior,php,"Python, PHP, Javascript / Typescript, SQL",78000.0,27.0,full-time,Unlimited contract,German,up to 10,Product,No
639,36,Female,Berlin,Data Scientist,5.0,5.0,Senior,Python,"Python, Java / Scala, SQL, AWS",75000.0,28.0,part-time,Unlimited contract,English,51-100,Startup,No
640,49,Male,Munich,Software Engineer,27.0,19.0,Senior,Java,"Javascript / Typescript, Java / Scala, SQL, Docker, Groovy",57000.0,30.0,full-time,Unlimited contract,German,101-1000,Consulting / Agency,No
641,32,Male,Berlin,Software Engineer,10.0,7.0,Lead,TypeScript,Javascript / Typescript,120000.0,0.0,freelancer,Temporary contract,Deuglisch,1000+,Concern,Yes
642,32,Female,Berlin,Software Engineer,6.0,4.0,Lead,Java,"Python, Kotlin, AWS, Docker",75000.0,28.0,full-time,Unlimited contract,English,101-1000,Startup,No
643,27,Female,Berlin,Data Analyst ,1.0,1.0,Middle,"Python, SQL","Python, SQL",63000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
644,31,Male,Frankfurt,Data Scientist,6.0,6.0,Senior,python,"Python, AWS, Docker",60000.0,30.0,full-time,Unlimited contract,English,51-100,Consulting / Agency,No
645,31,Male,Paris,Mobile Developer,8.0,0.0,Senior,Swift,Swift,60000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
646,28,Male,Cologne,Backend Developer,4.0,4.0,Middle,Java,Pl/sql,44000.0,30.0,full-time,Unlimited contract,German,101-1000,Product,No
648,27,Male,Berlin,Software Engineer,2.0,1.0,Lead,DWH,SQL,90000.0,31.0,full-time,Unlimited contract,English,1000+,Product,No
649,29,Male,Berlin,Frontend Developer,8.0,5.0,Head,JavaScript,"Kubernetes, Docker",82500.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
650,32,Female,Munich,Data Engineer,10.0,2.0,Middle,Python,"Python, SQL, AWS, Docker, Spark, Airflow",75000.0,27.0,full-time,Unlimited contract,English,11-50,Startup,Yes
651,28,Male,Berlin,QA Engineer,5.0,1.0,Middle,QA,Python,60000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
653,38,Male,Dublin ,Mobile Developer,16.0,0.0,Senior,Swift,"Swift, Java / Scala",85000.0,24.0,full-time,Unlimited contract,English,101-1000,Product,No
654,29,Male,Berlin,Data Engineer,3.0,3.0,Middle,Azure,"Python, SQL, Azure",54000.0,30.0,full-time,Unlimited contract,German,1000+,Utilities,No
655,30,Male,Stockholm,Backend Developer,7.0,2.5,Senior,C++,"Python, C/C++, Java / Scala, AWS, Kubernetes, Docker",65000.0,33.0,full-time,Unlimited contract,English,1000+,Product,No
657,30,Male,Paderborn,Data Scientist,6.0,2.0,Junior,Python,"Python, SQL, Docker",51000.0,30.0,full-time,Unlimited contract,German,101-1000,Product,No
659,37,Male,Berlin,Mobile Developer,16.0,2.0,Senior,iOS,"Kotlin, C/C++, Swift, Ruby",65000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
660,32,Male,Amsterdam,Mobile Developer,13.0,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0       3.0
1       4.0
2       6.0
3       1.0
4       6.0
       ... 
1248    5.0
1249    1.5
1250    2.0
1251    7.0
1252    2.0
Name: germany_experience, Length: 1236, dtype: object>",Senior,Kotlin,Kotlin,85000.0,27.0,full-time,Unlimited contract,English,1000+,Bank,No
663,30,Male,Berlin,Software Engineer,7.0,1.0,Senior,Java,"Go, AWS, Kubernetes",86000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
665,32,Male,Berlin,QA Engineer,10.0,3.0,Senior,js,"Java / Scala, Google Cloud, Docker",81000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
666,32,Male,Cologne,DevOps,7.0,2.0,Middle,k8s,"Python, Google Cloud, Kubernetes, Docker",60000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,Yes
667,34,Male,Munich,Software Engineer,12.0,8.0,Senior,Java,"Java / Scala, SQL, Go, Google Cloud, Kubernetes, Docker",74000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
668,43,Male,Cologne,Backend Developer,10.0,7.0,Senior,Php,PHP,57600.0,26.0,full-time,Unlimited contract,German,101-1000,Product,No
669,33,Male,Munich,Software Engineer,13.0,4.0,Senior,Java,"Python, Kotlin, Javascript / Typescript, AWS, Kubernetes, Docker",70000.0,24.0,full-time,Unlimited contract,English,101-1000,Startup,No
670,28,Female,Munich,QA Engineer,8.0,4.0,Senior,Kotlin,"Kotlin, Java / Scala, AWS, Kubernetes, Docker",75000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
671,33,Male,Hamburg,Software Engineer,11.0,5.0,Senior,Java,"Python, SQL",65000.0,28.0,full-time,Unlimited contract,English,11-50,Product,No
672,33,Male,Munich,Software Engineer,11.0,4.0,Lead,"Frontend: react, node.js","Javascript / Typescript, AWS, Kubernetes, Docker",90000.0,28.0,full-time,Unlimited contract,English,1000+,Product,No
673,51,Male,Berlin,Software Engineer,30.0,30.0,Senior,"VB, RPA, Python","Python, PHP, Javascript / Typescript, .NET, SQL, SAP / ABAP",60000.0,30.0,full-time,Unlimited contract,German,1000+,Consulting / Agency,No
674,35,Male,Berlin,Software Engineer,8.0,5.0,Senior,Go,"Java / Scala, Go, AWS, Google Cloud, Azure, Kubernetes, Docker",90000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
675,35,Male,Berlin,Software Engineer,1.0,1.0,Junior,FBD,"PHP, Javascript / Typescript, SQL",30000.0,26.0,full-time,Unlimited contract,German,up to 10,Product,No
677,28,Male,Munich,Software Engineer,6.0,3.0,Middle,"C, C++","C/C++, Linux Kernel",64000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
679,25,Male,Berlin,Mobile Developer,2.0,2.0,Middle,"Swift, Objective-C, iOS",Swift,44000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
680,25,Female,Hamburg,working student (QA),1.0,1.0,student,Ruby,"Java / Scala, SQL",12000.0,12.0,part-time,Temporary contract,English,1000+,Product,No
681,32,Male,Berlin,Backend Developer,10.0,3.0,Lead,Ruby,"Python, Javascript / Typescript, Ruby, SQL, AWS, Docker",80000.0,28.0,full-time,Unlimited contract,English,51-100,Product,No
682,32,Male,Berlin,Software Engineer,9.0,3.0,Lead,Embedded,"Python, C/C++, Go",73000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
683,26,Male,Berlin,Architect ,9.0,4.0,Head,Go,"Kotlin, Ruby, Go, Rust, AWS, Kubernetes, Docker",120000.0,24.0,full-time,Unlimited contract,English,1000+,Product,Yes
684,25,Male,Berlin,Software Engineer,6.0,3.0,Senior,JavaScript / TypeScript,"AWS, Docker",71750.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
685,27,Female,Berlin,Backend Developer,5.0,2.5,Middle,Kotlin,"Python, Kotlin, Java / Scala, Google Cloud, Kubernetes",65000.0,30.0,full-time,Unlimited contract,English,51-100,Product,No
686,28,Male,Frankfurt,Frontend Developer,7.0,5.0,Senior,Javascript,"Javascript / Typescript, AWS, Azure, Docker",80000.0,29.0,full-time,Unlimited contract,English,11-50,Startup,No
687,32,Female,Munich,QA Engineer,8.0,1.0,Senior,Java,"Javascript / Typescript, C#",60000.0,26.0,full-time,Unlimited contract,English,101-1000,Consulting / Agency,No
688,28,Male,Karlsruhe,Backend Developer,7.0,3.0,Senior,Java,"Kotlin, Javascript / Typescript, AWS, Kubernetes, Docker",66000.0,28.0,full-time,Unlimited contract,English,1000+,Product,No
689,34,Male,Berlin,Frontend Developer,13.0,1.0,Lead,JavaScript,"Javascript / Typescript, SQL, AWS",85000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
690,35,Male,Konstanz,Data Scientist,10.0,10.0,Middle,python,"Python, Azure, Kubernetes",65000.0,25.0,full-time,Unlimited contract,English,51-100,Product,No
691,38,Male,Berlin,Head of Engineering,20.0,9.0,Head,Java,"Python, Kotlin, Java / Scala, SQL, AWS, Kubernetes, Docker",130000.0,30.0,full-time,Unlimited contract,English,1000+,Corporation,Yes
694,31,Female,Ulm,QA Engineer,8.0,3.0,Middle,Java,Java / Scala,45000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
695,43,Male,Stuttgart,SAP Consultant,20.0,15.0,Senior,SAP / ABAP,"SQL, SAP / ABAP",82000.0,32.0,full-time,Unlimited contract,German,1000+,Product,No
696,38,Male,Berlin,Data Scientist,15.0,2.0,Head,Python,"Python, SQL, SAP / ABAP, AWS",100000.0,27.0,full-time,Unlimited contract,English,101-1000,Startup,No
697,35,Male,Munich,DevOps,17.0,5.0,Lead,Kubrrnetes,"R, AWS, Google Cloud, Kubernetes, Docker",72000.0,30.0,full-time,Unlimited contract,English,1000+,Consulting / Agency,No
