,age,gender,city,position,experience,germany_experience,work_level,main_tech,other_tech,yearly_salary,vacation_days,emp_state,contract_duration,main_language,company_size,company_type,covid_lost
374,30,Male,Karlsruhe ,Backend Developer,8.0,8.0,Lead,Python,"Python, C/C++, Javascript / Typescript, Java / Scala",65000.0,29.0,part-time,Unlimited contract,English,up to 10,Product,No
375,33,Male,Berlin,Software Engineer,10.0,1.0,Middle,iOS,Swift,65000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
376,46,Male,Munich,Software Engineer,10.0,2.0,Senior,Python ,"Javascript / Typescript, AWS",68500.0,28.0,full-time,Unlimited contract,English,51-100,Startup,No
377,27,Male,Berlin,Frontend Developer,8.0,1.0,Middle,Angular,Javascript / Typescript,45000.0,28.0,full-time,Unlimited contract,English,51-100,Product,No
379,32,Male,Berlin,Backend Developer,5.0,3.0,Middle,Ruby,"Javascript / Typescript, AWS, Docker",72000.0,30.0,full-time,Unlimited contract,English,11-50,Product,No
380,34,Male,Berlin,Software Engineer,15.0,2.0,Lead,Java,"Java / Scala, SQL",80000.0,28.0,full-time,Unlimited contract,English,1000+,Product,No
381,33,Male,Berlin,Software Engineer,10.0,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0       3.0
1       4.0
2       6.0
3       1.0
4       6.0
       ... 
1248    5.0
1249    1.5
1250    2.0
1251    7.0
1252    2.0
Name: germany_experience, Length: 1236, dtype: object>",Senior,Salesforce ,"Python, Javascript / Typescript, Apex",68000.0,25.0,full-time,Temporary contract,English,11-50,Startup,No
382,26,Male,"Riga, Latvia",Software Engineer,4.0,0.0,Middle,javascript,"Javascript / Typescript, SAP / ABAP",24000.0,20.0,full-time,Unlimited contract,English,101-1000,Consulting / Agency,No
383,41,Male,Berlin,Software Engineer,19.0,7.0,Lead,Python,"C/C++, SQL, AWS, Kubernetes, Docker",95500.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
384,35,Male,Cologne,Software Engineer,14.0,7.0,Senior,C++,"Python, C/C++, SQL",72000.0,35.0,full-time,Unlimited contract,English,101-1000,Product,No
385,26,Male,Hamburg,Software Engineer,7.0,3.5,Senior,TypeScript,"Python, Javascript / Typescript, AWS, Docker",72000.0,27.0,full-time,Unlimited contract,German,101-1000,Consulting / Agency,No
387,24,Male,Munich,Software Engineer,3.0,2.0,Middle,Java/C++,"Python, C/C++, Javascript / Typescript, Java / Scala, SQL, Kubernetes",77600.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
388,35,Male,Hamburg,Software Engineer,13.0,3.0,Lead,Scala / Python,"Python, Ruby, Java / Scala, Google Cloud, Kubernetes, Docker",95000.0,25.0,full-time,Unlimited contract,English,51-100,Startup,No
389,31,Male,Dusseldorf,Software Engineer,7.0,3.0,Senior,C++,"Python, C/C++, Javascript / Typescript, SQL",50400.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
391,30,Male,Moscow,Backend Developer,2.0,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0       3.0
1       4.0
2       6.0
3       1.0
4       6.0
       ... 
1248    5.0
1249    1.5
1250    2.0
1251    7.0
1252    2.0
Name: germany_experience, Length: 1236, dtype: object>",Middle,Python,"Python, SQL, Docker",13000.0,28.0,full-time,Unlimited contract,Russian,51-100,Startup,No
393,30,Male,Moscow,Software Engineer,5.0,0.0,Middle,C,C/C++,14712.0,30.0,full-time,Unlimited contract,Russian,101-1000,Product,No
395,35,Male,Berlin,QA Engineer,11.0,10.0,Senior,Java,"Python, Javascript / Typescript, .NET, Java / Scala, Kubernetes, Docker",74400.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
396,37,Male,Hamburg,Software Engineer,15.0,5.0,Senior,Java,"Python, Javascript / Typescript, Java / Scala, Go, AWS, Kubernetes, Docker",70000.0,25.0,full-time,Temporary contract,English,11-50,Startup,No
397,36,Male,Hamburg,Backend Developer,10.0,5.0,Senior,Java/Scala,"Python, Go, AWS, Docker",82000.0,30.0,full-time,Unlimited contract,German,51-100,Product,No
400,23,Male,Berlin,Software Engineer,4.0,1.0,Middle,Javascript,"Javascript / Typescript, SQL, AWS, Docker",70500.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
401,39,Male,Stuttgart,Software Engineer,11.0,3.0,Lead,PHP,"PHP, SQL, Kubernetes, Docker",75000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
402,27,Female,Berlin,Data Scientist,3.0,3.0,Middle,Python,"Python, SQL, Google Cloud, Kubernetes, Docker",58000.0,24.0,full-time,Unlimited contract,English,51-100,Product,No
403,50,Male,Berlin,Software Engineer,29.0,2.0,Lead,C++,"C/C++, PHP, SQL",28800.0,30.0,full-time,Unlimited contract,German,11-50,IT-Outsourcing,No
406,35,Male,Helsinki,Backend Developer,11.0,2.5,Senior,python,"SQL, AWS, Docker",66000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
407,29,Male,Berlin,Backend Developer,10.0,1.0,Senior,Ruby,Go,80000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
408,30,Male,Munich,Mobile Developer,8.0,2.0,Lead,Swift,Swift,75000.0,24.0,full-time,Unlimited contract,English,11-50,Startup,No
409,24,Male,Frankfurt,Frontend Developer,3.0,0.0,Middle,JavaScript,"Javascript / Typescript, Docker",44000.0,26.0,full-time,Unlimited contract,English,51-100,Product,No
410,28,Male,Würzburg,Software Engineer,8.0,0.0,Senior,Java,"Kotlin, Javascript / Typescript",75000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
411,28,Male,Berlin,Backend Developer,9.0,2.0,Senior,PHP,"SQL, AWS, Docker",60000.0,25.0,full-time,Unlimited contract,English,11-50,Product,No
413,37,Male,Berlin,Software Engineer,8.0,5.0,Senior,Python ,"Python, Javascript / Typescript, SQL, Go, AWS, Google Cloud, Kubernetes, Docker",76900.0,26.0,full-time,Unlimited contract,English,101-1000,Product,No
415,30,Male,Kiev,Backend Developer,8.0,0.0,Middle,Web developer,"PHP, Javascript / Typescript, SQL, Docker",27000.0,21.0,full-time,Temporary contract,Russian,51-100,Product,No
416,30,Male,Munich,Frontend Developer,4.0,1.0,Middle,JavaScript/Typescript,"PHP, SQL",55000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
417,31,Male,Berlin,Software Engineer,4.0,2.0,Lead,Java,"Kotlin, SQL, AWS, Kubernetes, Docker",95000.0,28.0,full-time,Unlimited contract,English,1000+,Startup,No
